req_text_1,req_text_2,consistency_label,nfr_category
enforce code linting maintain code quality,enforce code linting maintain not code quality,0,Maintainability
api response defined json specified rfc 7159 json object root every api response response document contain least one following top level member data documentã â â ã â å primary data ã â â case response clientã â â query error array error object stating went wrong clientã â â request issue arise top level member specified r4 1 3 3 not coexist json document data present error absent vice versa,api response defined json specified rfc 7159 json object root every api response response document contain least one following top level member data documentã â â ã â å primary data ã â â case response clientã â â query error array error object stating went wrong clientã â â request issue arise top level member specified r4 1 3 3 not not coexist json document data present error absent vice versa,0,Fault Tolerance
system shall include mechanism maintain functionality partial system degradation,system shall not exclude mechanism maintain functionality partial system degradation,0,Maintainability
product shall optimized performance across different device platform,implement robust error tracking system,1,Performance
implement incident management process handle maintenance issue effectively,system shall provide error message clear suggest corrective action,1,Maintainability
client send get request web api question url parameter client specify header content type application json request convention valid api query single url parameter containing one sentence question standard english,implement integration testing interface,1,Usability
add new dish given administrator logged administrator creates new dish new dish added list dish,include shortcut common action enhance productivity,1,Operability
allow user set custom background,not allow user set custom background,0,Usability
possible pan map view,streaming movie buffering occur latency user connection,1,Portability
use multiple geographic data center provide redundancy geographic failover,use multiple geographic data center not provide redundancy geographic failover,0,Fault Tolerance
system shall provide mean manually initiating failover case automated failover failure,sensitive data must encrypted transit rest using industry standard encryption algorithm,1,Fault Tolerance
delete restaurant type given administrator logged administrator deletes restaurant type deleted restaurant type removed list restaurant type,user select desired product result proceed product detail,1,Operability
system shall support version control configuration change,search form added home page,1,Usability
gps connection desc application connected gps device,implement resource quota prevent overuse,1,Portability
product shall support multiple language regional setting,product shall not support multiple language regional setting,0,Usability
search feature prominent easy find user,search feature prominent not easy find user,0,Usability
order create viable offering user build simple transparent system understood trusted people using,order create viable offering user not build simple transparent system understood trusted people using,0,Look and Feel
define monitor slos ensure performance load,administrator change stylistic map,1,Operability
possible ã â å likeã â â certain event,possible not ã â å likeã â â certain event,0,Portability
implement fluid layout better adaptability,implement not fluid layout better adaptability,0,Look and Feel
primary attribute application usability given large amount data information presented small screen well userã â â ability input data device reasonable manner not much difficult actual computer,campus map cover campus tu e,1,Portability
system must undergo external penetration testing least annually identify address security weakness,system must not undergo external penetration testing least annually identify address security weakness,0,Security
application map view stylistic style,movie shall encoded 56k 256k stream,1,Usability
system shall ability detect correct transient fault automatically,system shall not ability detect correct transient fault automatically,0,Fault Tolerance
product shall include mechanism tracking system change update,product shall not include mechanism tracking system change update,0,Maintainability
user select product view detail,user select product not view detail,0,Usability
system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet username password,system shall not accessed authorized corporate community grant ccr employee user must not authenticated using ibm intranet username password,0,Security
poiã â â building indicated,poiã not â â building indicated,0,Look and Feel
system shall undergo regular code review maintain code quality,search described requirement ucar501 ucar502 result displayed set employee match search input,1,Maintainability
product shall process continuous improvement based user feedback,product shall not process continuous improvement based user feedback,0,Usability
maintenance window schedule maintenance window minimize impact availability,user create account security gist security creating account user system scale user want create account desired user name occupied user asked choose different user name meter measurement obtained 1000 hour usage testing must 100% time,1,Maintainability
administrator modify list news rss feed available english,system link back home case no result found,1,Availability
data protection impact assessment dpia must conducted new feature change impact data privacy,data protection impact assessment dpia must not conducted new feature change impact data privacy,0,Security
consistency form ensure form element consistently styled,support multimedia content within interface,1,Usability
application shall handle 150 000 record single report generation request,implement robust queue management handling large volume request,1,Usability
cross train staff provide redundancy key personnel manage system availability effectively,cross train staff not provide redundancy key personnel manage system availability effectively,0,Portability
backup data must encrypted stored secure location access limited authorized personnel,backup data must not encrypted stored insecure location access limited authorized personnel,0,Security
remote access system must secured vpns require strong authentication,possible view element search result described ucar201 ucar202 ucar203 map view,1,Look and Feel
campus map cover campus tu e,system must capable running scheduled report data export,1,Usability
system shall compliant iso 9001 quality standard,system shall support cross platform compatibility,1,Usability
33 application shall ask user confirm dropping player trading player performing action,system shall ensure user data backed real time minimize loss unexpected failure,1,Usability
current day indicated calendar,offer training material video webinars,1,Usability
overall accuracy web apiã â â response measured using developer made testing set overall accuracy calculated dividing total number correct answer number question asked accuracy generic question constructionã â â ¹ part close 80% accuracy generic answer constructionã â â ¹ unit close 70% accuracy generic answer populationã â â ¹ unit close 70% drexel facilitiesã â â location schedule accuracy greater 70% ã â â ¹ drexel staffã â â office location contact information position accuracy greater 70% ã â â ¹ drexel policy including academic admission information technology etc accuracy greater 70% ã â â ¹ ã â â ¹ campus dining location hour food type etc accuracy greater 50% ã â â ¹ food trucksã â â general location hour food type drexel campus accuracy greater 40%,overall accuracy web apiã â â response measured using developer made testing set overall accuracy calculated dividing total number correct answer number question asked accuracy generic question constructionã â â ¹ part close 80% accuracy generic answer constructionã not â â ¹ unit close 70% accuracy generic answer populationã â â ¹ unit close 70% drexel facilitiesã â â location schedule accuracy greater 70% ã â â ¹ drexel staffã â â office location contact information position accuracy greater 70% ã â â ¹ drexel policy including academic admission information technology etc accuracy greater 70% ã â â ¹ ã â â ¹ campus dining location hour food type etc accuracy greater 50% ã â â ¹ food trucksã â â general location hour food type drexel campus accuracy greater 40%,0,LEGAL
system shall provide real time alert system failure critical issue,product shall include shortcut key list advanced user,1,Fault Tolerance
product shall generate cma report acceptable time,offer high contrast mode better accessibility,1,Performance
system shall implement intrusion detection prevention system idp monitor respond suspicious activity,product shall ability receive automatic software update new threat emerge 100% customer able receive automatic software update transmitted installed product,1,Operability
use scalable file storage solution,location searched address building,1,Usability
perform end end testing complete scenario,perform not end end testing complete scenario,0,Usability
user account must managed according security best practice including timely deactivation account departing employee,user account must not managed according security best practice including timely deactivation account departing employee,0,Performance
offer high contrast mode better accessibility,offer high not contrast mode better accessibility,0,Usability
search recycled part shall take no longer 15 second search result shall returned 15 second,system shall able handle 1000 customer logged concurrently time,1,Usability
product shall audit capability product shall store message minimum one year audit transaction tracking purpose,ensure interactive element labeled accessible name,1,Portability
product shall able handle 10 000 concurrent user within 2 year initial launch,ensure medium element video audio accessible control,1,Scalability
define monitor slos ensure performance load,define not monitor slos ensure performance load,0,Operability
system shall support recovery data different type failure including hardware software network failure,system shall offer customizable fault tolerance setting align specific operational requirement,1,Fault Tolerance
ensure system handle concurrent operation efficiently,ensure system handle not concurrent operation efficiently,0,Operability
product shall tested performance various load condition,product shall not tested performance various load condition,0,Performance
continuous monitoring implement continuous monitoring detect address issue promptly,system shall provide clear consistent iconography throughout interface,1,Operability
system must comply organizational security policy standard,partition data distribute across multiple server,1,LEGAL
product shall include built security feature encryption authentication,product shall not include built security feature encryption authentication,0,Look and Feel
website design modern clean concise,product shall easy realtor learn,1,Look and Feel
product shall easy realtor learn,application replace siteâ description clicked image description,1,Usability
ensure application compatible popular assistive technology,encryption data privacy sensitive must persisted server order basic functionality,1,Operability
user select product view detail,system shall maintain comprehensive fault log includes detail failure recovery action taken,1,Usability
overprovision capacity handle unexpected spike,overprovision capacity handle not unexpected spike,0,Usability
use caching improve performance,use not caching improve performance,0,Performance
health check implement regular health check system component,health check implement regular not health check system component,0,Usability
possible ã â å tweetã â â userã â â current location,website must interface cybersource api process credit card transaction,1,Portability
product shall interface choice part system provides feed recycled part data,product shall not interface choice part system provides feed recycled part data,0,Look and Feel
streaming movie buffering occur latency user connection,streaming movie buffering occur not latency user connection,0,Performance
deploy high availability firewall protect network failure,use static code analysis tool identify issue,1,Fault Tolerance
database updated periodically api unavailable update,delete restaurant information given administrator logged information restaurant exists administrator deletes information information restaurant deleted,1,Availability
campus map cover campus tu e,campus not map cover campus tu e,0,Usability
system must ensure proper data sanitization procedure followed remove sensitive information disposal reuse,usage result list view desc result displayed list view user friendly easy understand selecting element result list take one click,1,Portability
system must include regular security testing part development lifecycle,conduct performance tuning optimization behind scene maintain consistent user experience,1,Security
system shall interface campusconnect central server,use dependency injection manage dependency,1,Look and Feel
spacing padding ensure proper spacing padding clean look,spacing padding ensure not proper spacing padding clean look,0,Look and Feel
update page link site nearby,agenda app started upcoming event shown title screen,1,Maintainability
user able access application campus anytime mobile device without need internet connection,user able access application campus anytime mobile device without not need internet connection,0,Performance
use external monitoring service provide independent check system availability,use external monitoring service not provide independent check system availability,0,Operability
scale resource geographically based user location,product shall include shortcut key list advanced user,1,Scalability
dutch available language,dutch unavailable language,0,Availability
show field managing information given restaurant owner logged restaurant owner want manage information restaurant owner able manage information form,product shall use symbol word naturally understandable realtor community,1,Operability
system shall include undo redo feature recent action,system shall not include undo redo feature recent action,0,Usability
product shall use standard navigation menu familiar web user,product shall supported using corporate support center,1,Usability
physical access server data center must restricted authorized personnel,case no image available application return no image flag,1,Security
editing information given restaurant owner logged information exists restaurant owner edits information information edited,uptime slas define adhere strict uptime service level agreement slas,1,Operability
system shall include setting disable enable certain feature based user preference,administrator change icon used user interface sub apps main app not include external resource,1,Usability
product shall able handle least 100 000 transaction per day without performance degradation,product shall not able handle least 100 000 transaction per day without performance degradation,0,Performance
cloud bursting employ cloud bursting handle peak load,system shall offer context sensitive help major step user workflow,1,Scalability
system shall include feature user account management auditing,system shall offer fault tolerance feature configurable administrator match organization specific requirement,1,Usability
include user friendly default value form field,exclude user friendly default value form field,0,Fault Tolerance
system shall log report error diagnostic purpose,campus map cover campus tu e,1,Fault Tolerance
ensure clear logical navigation path,average time server respond question testing set less equal 2 second,1,Operability
case user enters username email password log system,case not user enters username email password log system,0,Operability
system shall use symbol word naturally understandable user community,izogn administrator must able add new product website within 2 minute,1,Usability
include option switch light dark mode,exclude option switch light dark mode,0,Usability
successful log given restaurant owner want log restaurant owner log account restaurant owner logged restaurant owner,successful log given restaurant owner want log restaurant owner log account restaurant owner not logged restaurant owner,0,Operability
use bespoke illustration convey message,sensitive data must encrypted transit rest using industry standard encryption algorithm,1,Usability
regular security audit must conducted internal external auditor assess effectiveness security control,regular security audit must not conducted internal external auditor assess effectiveness security control,0,Security
service resilience ensure service resilient recover quickly failure,service resilience ensure service not resilient recover quickly failure,0,Fault Tolerance
product shall include feature user report usability issue directly within application,unit receive input mapping generic question construction unit,1,Usability
select english preferred language given administrator want select preferred language administrator selects english new language web portal show text english,select english preferred language given administrator want select preferred not language administrator selects english new language web portal show text english,0,Operability
system shall provide automated mechanism redistribute workload failure,system shall not provide automated mechanism redistribute workload failure,0,Fault Tolerance
system dependability gist fault tolerance system scale system loses connection internet gps device system get strange input user informed meter measurement obtained 1000 hour usage testing must 100% time,system dependability gist fault tolerance system scale system loses connection internet gps device system get strange input user informed meter measurement obtained 1000 hour usage testing must not 100% time,0,Fault Tolerance
system shall ensure 95% user complete basic task e g file upload without external assistance,set automatic reboots critical service recover unexpected failure,1,Scalability
implement configurable build process streamline automate software build,provide library tutorial video,1,Look and Feel
system shall easy use caller supervisor caller supervisor must able accomplish system task within 2 minute,provide customizable logging level adapt logging verbosity based operational need troubleshooting requirement,1,Usability
system shall ensure data replicated across multiple geographical location avoid data loss case regional failure,continuously monitor performance metric,1,Fault Tolerance
partition data distribute across multiple server,product shall ensure supervisor view schedule caller product must ensure supervisor allowed access view caller schedule,1,Portability
system shall support partial failure affected component taken offline others remain operational,implement concurrency control mechanism efficient processing,1,Fault Tolerance
integrate learning management system,product shall undergo least 8 hour performance testing release,1,Usability
product shall use symbol word naturally understandable user familiar website,product shall not use symbol word naturally understandable user familiar website,0,Usability
website shall protect intentional abuse notify administrator occurrence,user select topic search result list,1,Operability
product shall undergo least 8 hour performance testing release,overprovision capacity handle unexpected spike,1,Performance
system shall ensure update patch not introduce new defect,system shall not ensure update patch not introduce new defect,0,Maintainability
use automated configuration management maintain consistency reduce manual error,design data pipeline scale data volume,1,Fault Tolerance
system shall include new section highlighting recent update new feature,possible switch stylistic map view satellite map view,1,Maintainability
implement mechanism apply hotfixes patch without requiring system downtime,system shall ensure fault tolerance mechanism tested regularly,1,Availability
main menu contains launcher facebook app 3 1 9,database updated periodically api unavailable update,1,Usability
product shall operate every platform product shall accommodate new technology without change architecture,regular review user access permission must conducted ensure compliance security policy,1,Operability
regular review user access permission must conducted ensure compliance security policy,regular review user access permission must not conducted ensure compliance security policy,0,LEGAL
movie shall encoded streamed via window medium player 9 0,product must make use web application server technology open source example include apache web server tomcat jboss application server,1,Usability
use microservices architecture enable independent scaling service,use microservices architecture disable independent scaling service,0,Portability
system shall provide real time alert system failure critical issue,system must use firewall network segmentation protect internal network unauthorized access,1,Fault Tolerance
system shall maintain consistent performance 1 5 tb data,system shall not maintain consistent performance 1 5 tb data,0,Maintainability
product shall provide asynchronous messaging enable parallel processing reduce overhead communication,product shall not provide asynchronous messaging enable parallel processing reduce overhead communication,0,Usability
mobile application search restaurant type desc user able select restaurant type given list input result displayed map view default,mobile application search restaurant type desc user able select restaurant type given list not input result displayed map view default,0,Fault Tolerance
deploy high availability firewall protect network failure,deploy high availability firewall protect not network failure,0,Fault Tolerance
product shall ensure supervisor enter caller schedule product must ensure supervisor allowed access enter caller schedule,system shall capable processing 100% nursing student class next 10 year,1,Usability
product shall poll system message every second product shall poll system new message maximum every 1 second,use interactive widget better engagement,1,Usability
possible search person department,authorized user shall access student personal information,1,Portability
product require collaboration database management system dbms dbms may located machine product separate machine residing computer network,product require collaboration database management system dbms dbms may located not machine product separate machine residing computer network,0,Look and Feel
code review implement code review process ensure code quality consistency,product shall security product shall provide authentication authorization,1,Usability
product shall use large easily readable font textual content,product shall not use large easily readable font textual content,0,Look and Feel
ease useã â â ¹ new user make less 3 mistake 5 minute 5 minute use,ease not useã â â ¹ new user make less 3 mistake 5 minute 5 minute use,0,Usability
application shall support 60 simultaneous video stream,application shall not support 60 simultaneous video stream,0,Usability
design system modular component facilitate update replacement without affecting entire system,design system modular component facilitate update replacement without not affecting entire system,0,Look and Feel
product must offer customizable dashboard system monitoring,product must not offer customizable dashboard system monitoring,0,Operability
system must include automated error handling resolution mechanism,system must not exclude automated error handling resolution mechanism,0,Fault Tolerance
