req_text_1,req_text_2,consistency_label,nfr_category
cma report shall returned no later 60 second user entered cma report criterion,cma report shall not returned no later 60 second user entered cma report criterion,0,Scalability
application extendable mean skilled java android programmer able easily add new sub application insapption add launcher main application,application extendable mean skilled java android programmer not able easily add new sub application insapption add launcher main application,0,Reliability
system shall ensure user session preserved failovers,system shall designed handle simultaneous failure 20% component without service interruption,1,Performance
product shall available player understand english spanish french product shall allow user select language upon accessing product,product shall not available player understand english spanish french product shall not allow user select language upon accessing product,0,Portability
product shall offer web based interface remote system management,location searched address building,1,Compatibility
follow industry standard high availability ensure best practice,regularly benchmark system industry standard,1,Portability
use interactive chart data visualization,interface shall easy use 90% user able successfully use system generate report first use interface adhere ibm usability standard,1,Scalability
response time system 2 second,response time system not 2 second,0,Interoperability
product shall include interface managing system license entitlement,provide option user adjust text size color readability,1,Portability
use interactive infographics data representation,location selected search result described ucar211 ucar212,1,Interoperability
full information registration given restaurant owner want create account restaurant owner not account restaurant owner register web portal providing user name password address e mail address phone number mobile number restaurant owner able apply verification,product shall include comprehensive quality assurance testing strategy,1,Scalability
product shall include feature automated system update patch management,allow user easily navigate back previous screen action,1,Availability
system must monitor record user activity detect respond potential security incident,system must not monitor record user activity detect respond potential security incident,0,Accuracy
provide user clear path troubleshooting issue,include option switch light dark mode,1,Interoperability
product must able interface various email server product shall able send email,product must able interface various email server product shall not able send email,0,Flexibility
case user change username email address profile picture password user change username password notification mail sent userã â â email address change apply user click link email,case user change username email address profile picture password user change username password notification mail sent userã not â â email address change apply user click link email,0,Portability
user click link browse site home page system respond list link site z sorted site name,user click link browse site home page system not respond list link site z sorted site name,0,Availability
ensure application compatible popular assistive technology,ensure application compatible not popular assistive technology,0,Performance
design system high availability minimal downtime,design system high not availability minimal downtime,0,Accuracy
product shall include help button accessible every screen,product shall not include help button accessible every screen,0,Scalability
use scalable identity management solution,use scalable not identity management solution,0,Usability
use cloud provider offer high availability auto scaling feature,use cloud provider not offer high availability auto scaling feature,0,Compatibility
communication security gist security communication system server scale message encrypted log communication others cannot get user name password message meter attempt get user name password obtained message 1000 log session testing must 100% communication message communication log session encrypted communication message defined every exchanged information client server,location searched name poi,1,Reliability
system shall allow manual intervention override automated recovery procedure necessary,system shall not allow manual intervention override automated recovery procedure necessary,0,Portability
every registered user access product support site via internet 70% registered user shall find solution problem within 5 minute using support site,every registered user access product support site via internet 70% registered user shall not find solution problem within 5 minute using support site,0,Portability
product shall include feature user report usability issue directly within application,product shall not include feature user report usability issue directly within application,0,Performance
implement network redundancy prevent single point failure network connectivity,implement network redundancy prevent not single point failure network connectivity,0,Flexibility
system shall easy learn caller supervisor caller supervisor shall learn use system within 10 minute,user select topic search result list,1,Usability
interface shall designed minimize number click needed complete common task,interface shall not designed minimize number click needed complete common task,0,Reliability
system shall use symbol word naturally understandable user community,application shall process 600 000 record batch processing job,1,Security
twitter ã â â tweetã â â interface according twitter guideline,twitter ã â â tweetã â â not interface according twitter guideline,0,Flexibility
system shall include built user guide easily searchable,product shall adhere corporate architecture guideline,1,Compatibility
database updated periodically api unavailable update,database updated not periodically api unavailable update,0,Scalability
facebook ã â â likeã â â interface according facebook guideline,facebook ã â â likeã â â interface not according facebook guideline,0,Availability
implement feedback system learn user experience,team owner need use username password order authenticated reach team owner page,1,Portability
enforce code linting maintain code quality,enforce code linting maintain not code quality,0,Availability
system shall include mechanism maintain functionality partial system degradation,system shall not exclude mechanism maintain functionality partial system degradation,0,Performance
product shall optimized performance across different device platform,implement robust error tracking system,1,Compatibility
allow user set custom background,not allow user set custom background,0,Scalability
use multiple geographic data center provide redundancy geographic failover,use multiple geographic data center not provide redundancy geographic failover,0,Availability
system shall provide mean manually initiating failover case automated failover failure,sensitive data must encrypted transit rest using industry standard encryption algorithm,1,Reliability
gps connection desc application connected gps device,implement resource quota prevent overuse,1,Usability
search feature prominent easy find user,search feature prominent not easy find user,0,Portability
order create viable offering user build simple transparent system understood trusted people using,order create viable offering user not build simple transparent system understood trusted people using,0,Availability
primary attribute application usability given large amount data information presented small screen well userã â â ability input data device reasonable manner not much difficult actual computer,campus map cover campus tu e,1,Maintainability
system shall ability detect correct transient fault automatically,system shall not ability detect correct transient fault automatically,0,Security
product shall include mechanism tracking system change update,product shall not include mechanism tracking system change update,0,Reliability
user select product view detail,user select product not view detail,0,Maintainability
system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet username password,system shall not accessed authorized corporate community grant ccr employee user must not authenticated using ibm intranet username password,0,Scalability
system shall undergo regular code review maintain code quality,search described requirement ucar501 ucar502 result displayed set employee match search input,1,Usability
product shall process continuous improvement based user feedback,product shall not process continuous improvement based user feedback,0,Performance
maintenance window schedule maintenance window minimize impact availability,user create account security gist security creating account user system scale user want create account desired user name occupied user asked choose different user name meter measurement obtained 1000 hour usage testing must 100% time,1,Usability
administrator modify list news rss feed available english,system link back home case no result found,1,Maintainability
data protection impact assessment dpia must conducted new feature change impact data privacy,data protection impact assessment dpia must not conducted new feature change impact data privacy,0,Performance
cross train staff provide redundancy key personnel manage system availability effectively,cross train staff not provide redundancy key personnel manage system availability effectively,0,Reliability
backup data must encrypted stored secure location access limited authorized personnel,backup data must not encrypted stored insecure location access limited authorized personnel,0,Maintainability
remote access system must secured vpns require strong authentication,possible view element search result described ucar201 ucar202 ucar203 map view,1,Scalability
33 application shall ask user confirm dropping player trading player performing action,system shall ensure user data backed real time minimize loss unexpected failure,1,Flexibility
overall accuracy web apiã â â response measured using developer made testing set overall accuracy calculated dividing total number correct answer number question asked accuracy generic question constructionã â â ¹ part close 80% accuracy generic answer constructionã â â ¹ unit close 70% accuracy generic answer populationã â â ¹ unit close 70% drexel facilitiesã â â location schedule accuracy greater 70% ã â â ¹ drexel staffã â â office location contact information position accuracy greater 70% ã â â ¹ drexel policy including academic admission information technology etc accuracy greater 70% ã â â ¹ ã â â ¹ campus dining location hour food type etc accuracy greater 50% ã â â ¹ food trucksã â â general location hour food type drexel campus accuracy greater 40%,overall accuracy web apiã â â response measured using developer made testing set overall accuracy calculated dividing total number correct answer number question asked accuracy generic question constructionã â â ¹ part close 80% accuracy generic answer constructionã not â â ¹ unit close 70% accuracy generic answer populationã â â ¹ unit close 70% drexel facilitiesã â â location schedule accuracy greater 70% ã â â ¹ drexel staffã â â office location contact information position accuracy greater 70% ã â â ¹ drexel policy including academic admission information technology etc accuracy greater 70% ã â â ¹ ã â â ¹ campus dining location hour food type etc accuracy greater 50% ã â â ¹ food trucksã â â general location hour food type drexel campus accuracy greater 40%,0,Reliability
system shall provide real time alert system failure critical issue,product shall include shortcut key list advanced user,1,Accuracy
use scalable file storage solution,location searched address building,1,Portability
user account must managed according security best practice including timely deactivation account departing employee,user account must not managed according security best practice including timely deactivation account departing employee,0,Portability
product shall able handle 10 000 concurrent user within 2 year initial launch,ensure medium element video audio accessible control,1,Scalability
system shall support recovery data different type failure including hardware software network failure,system shall offer customizable fault tolerance setting align specific operational requirement,1,Reliability
product shall include built security feature encryption authentication,product shall not include built security feature encryption authentication,0,Scalability
product shall easy realtor learn,application replace siteâ description clicked image description,1,Interoperability
ensure application compatible popular assistive technology,encryption data privacy sensitive must persisted server order basic functionality,1,Usability
user select product view detail,system shall maintain comprehensive fault log includes detail failure recovery action taken,1,Maintainability
possible ã â å tweetã â â userã â â current location,website must interface cybersource api process credit card transaction,1,Availability
product shall interface choice part system provides feed recycled part data,product shall not interface choice part system provides feed recycled part data,0,Reliability
streaming movie buffering occur latency user connection,streaming movie buffering occur not latency user connection,0,Reliability
deploy high availability firewall protect network failure,use static code analysis tool identify issue,1,Maintainability
database updated periodically api unavailable update,delete restaurant information given administrator logged information restaurant exists administrator deletes information information restaurant deleted,1,Security
system shall interface campusconnect central server,use dependency injection manage dependency,1,Interoperability
update page link site nearby,agenda app started upcoming event shown title screen,1,Maintainability
user able access application campus anytime mobile device without need internet connection,user able access application campus anytime mobile device without not need internet connection,0,Security
use external monitoring service provide independent check system availability,use external monitoring service not provide independent check system availability,0,Availability
scale resource geographically based user location,product shall include shortcut key list advanced user,1,Reliability
product shall use standard navigation menu familiar web user,product shall supported using corporate support center,1,Compatibility
system shall include setting disable enable certain feature based user preference,administrator change icon used user interface sub apps main app not include external resource,1,Maintainability
system shall include feature user account management auditing,system shall offer fault tolerance feature configurable administrator match organization specific requirement,1,Maintainability
include user friendly default value form field,exclude user friendly default value form field,0,Performance
case user enters username email password log system,case not user enters username email password log system,0,Maintainability
system shall use symbol word naturally understandable user community,izogn administrator must able add new product website within 2 minute,1,Accuracy
service resilience ensure service resilient recover quickly failure,service resilience ensure service not resilient recover quickly failure,0,Compatibility
product shall include feature user report usability issue directly within application,unit receive input mapping generic question construction unit,1,Usability
system shall provide automated mechanism redistribute workload failure,system shall not provide automated mechanism redistribute workload failure,0,Security
system dependability gist fault tolerance system scale system loses connection internet gps device system get strange input user informed meter measurement obtained 1000 hour usage testing must 100% time,system dependability gist fault tolerance system scale system loses connection internet gps device system get strange input user informed meter measurement obtained 1000 hour usage testing must not 100% time,0,Compatibility
system shall ensure 95% user complete basic task e g file upload without external assistance,set automatic reboots critical service recover unexpected failure,1,Accuracy
system shall easy use caller supervisor caller supervisor must able accomplish system task within 2 minute,provide customizable logging level adapt logging verbosity based operational need troubleshooting requirement,1,Usability
system shall ensure data replicated across multiple geographical location avoid data loss case regional failure,continuously monitor performance metric,1,Performance
system shall support partial failure affected component taken offline others remain operational,implement concurrency control mechanism efficient processing,1,Performance
product shall use symbol word naturally understandable user familiar website,product shall not use symbol word naturally understandable user familiar website,0,Availability
system shall ensure update patch not introduce new defect,system shall not ensure update patch not introduce new defect,0,Flexibility
use automated configuration management maintain consistency reduce manual error,design data pipeline scale data volume,1,Interoperability
system shall include new section highlighting recent update new feature,possible switch stylistic map view satellite map view,1,Availability
product shall operate every platform product shall accommodate new technology without change architecture,regular review user access permission must conducted ensure compliance security policy,1,Usability
regular review user access permission must conducted ensure compliance security policy,regular review user access permission must not conducted ensure compliance security policy,0,Reliability
system shall provide real time alert system failure critical issue,system must use firewall network segmentation protect internal network unauthorized access,1,Compatibility
system shall maintain consistent performance 1 5 tb data,system shall not maintain consistent performance 1 5 tb data,0,Accuracy
mobile application search restaurant type desc user able select restaurant type given list input result displayed map view default,mobile application search restaurant type desc user able select restaurant type given list not input result displayed map view default,0,Flexibility
deploy high availability firewall protect network failure,deploy high availability firewall protect not network failure,0,Interoperability
ease useã â â ¹ new user make less 3 mistake 5 minute 5 minute use,ease not useã â â ¹ new user make less 3 mistake 5 minute 5 minute use,0,Reliability
design system modular component facilitate update replacement without affecting entire system,design system modular component facilitate update replacement without not affecting entire system,0,Security
animation use subtle animation enhance user experience without distraction,animation use subtle animation enhance not user experience without distraction,0,Reliability
mobile application filtering result desc viewing result list map user able filter result filtering menu filtering option include increasing decreasing maximum distance increasing decreasing maximum price choosing restaurant type choosing specific dish,mobile application filtering result desc viewing result list map user able filter result filtering menu filtering option include increasing decreasing maximum distance increasing decreasing maximum not price choosing restaurant type choosing specific dish,0,Security
system shall implement robust data backup strategy ensure rapid restoration failure,product shall include help button accessible every screen,1,Availability
system shall offer tool administrator simulate fault test recovery procedure,unit list generic word related specifically potential query example building professor,1,Scalability
product shall scalable handle increasing amount data user,develop e learning module self paced learning,1,Availability
maintain comprehensive faq section,maintain not comprehensive faq section,0,Performance
application assumes user whoever allows access android handset said google email address required verify identity user upon opening app since not password protected no method authenticate userã â â identity could pose thread user set paypal functionality however transaction involving real currency must authorized confirmed becoming final paypal api provides security check needed ensure no fraudulent transaction occur,application assumes user whoever allows access android handset said google email address required verify identity user upon opening app since not password protected no method authenticate userã â â identity could pose thread user set paypal functionality however transaction involving real currency must not authorized confirmed becoming final paypal api provides security check needed ensure no fraudulent transaction occur,0,Performance
product shall include feature user easily switch different account profile,efficiently manage resource avoid bottleneck,1,Availability
regularly backup data ensure quick recovery,regularly not backup data ensure quick recovery,0,Availability
application shall able complete every user transaction within one fourth second receiving request network,application shall not able complete every user transaction within one fourth second receiving request network,0,Security
user interface must gui based,user interface must not gui based,0,Accuracy
product shall provide monitoring service product shall easy system administrator dba use two week usage,product shall not provide monitoring service product shall not easy system administrator dba use two week usage,0,Usability
product shall support multi language interface seamless switching language,overall accuracy web apiã â â response measured using developer made testing set,1,Maintainability
system shall provide option user save work periodically auto save interval,default language insapption english,1,Reliability
include feature user manage notification alert,include not feature user manage notification alert,0,Maintainability
mobile application search price desc user able input maximum minimum price range result displayed list view default,mobile application search price desc user not able input minimum minimum price range result displayed list view default,0,Flexibility
case user mark item favorite notified change made item,case user mark item favorite notified not change made item,0,Scalability
product shall allow user easily import export data,system shall automatically reconfigure network setting handle change network topology failure,1,Scalability
product shall compatible major third party software hardware integration,product shall not compatible major third party software hardware integration,0,Scalability
product shall optimized performance across different device platform,product shall not optimized performance across different device platform,0,Compatibility
user interface shall support customizable theme enhance readability accessibility,employ hybrid cloud strategy better scalability,1,Usability
system shall use organization standard virus protection software help monitor threat,system shall not use organization standard virus protection software help monitor threat,0,Usability
user option change setting locally remotely,streaming movie buffering time take no longer 10 second plus latency user connection,1,Usability
user click link browse site home page system respond list link site z sorted site name,possible ã â å tweetã â â certain news item,1,Scalability
product shall capable handling existing 1000 user number expected grow 5 time within next year,use decentralized data storage solution,1,Availability
response time accessing user profile shall 1 5 second,response time accessing user profile shall not 1 5 second,0,Maintainability
security patch update must applied system within one week release,security patch update must not applied system within one week release,0,Interoperability
application shall maximum latency 4 second high volume data import,text element user interface presented selected language english dutch,1,Interoperability
allow user customize profile,deny user customize profile,0,Flexibility
ensure session management handle large number concurrent user,ensure session management handle not large number concurrent user,0,Scalability
product shall built using secure coding practice prevent vulnerability,download notify user new release desc new updated version release software released user check manually download new release done mobile phone way downloading mobile application,1,Performance
mobile application no match found desc no match found user informed kept search page order get possibility conduct new search right away,mobile application no match found desc no match found user informed kept search not page order get possibility conduct new search right away,0,Scalability
use version control system documentation track change maintain historical record,use version control system documentation track change maintain not historical record,0,Accuracy
use interactive infographics data representation,use interactive not infographics data representation,0,Compatibility
system shall handle 1 200 simultaneous user authentication request,system shall not handle 1 200 simultaneous user authentication request,0,Maintainability
offer contextual help tip within application,system must include user friendly interface managing system backup,1,Flexibility
redundancy avoid single point failure enhance reliability,redundancy avoid single not point failure enhance reliability,0,Usability
mobile application search desc given user logged mobile application first page shown search page user able search restaurant according several search option search option price destination restaurant type specific dish also free text search option user able select multiple search option one search,customer information stored secure database accessible authorized personnel,1,Scalability
implement hover effect interactive element,implement not hover effect interactive element,0,Interoperability
offer contextual help tip within application,product shall designed ease use intuitive user interface,1,Performance
automate failback procedure return primary system failover event,automate failback not procedure return primary system failover event,0,Scalability
system shall enforce role based access control rbac restrict access data functionality based user role,deploy function faa environment better scalability,1,Availability
usage search feature desc different search option evident simple easy understand,usage search feature desc different search option not evident simple easy understand,0,Maintainability
user feedback loop implement feedback loop incorporate user feedback maintenance,user click link walking tour application respond walking tour page,1,Usability
provide marketplace user created theme,ensure application user interface adapts well different resolution,1,Maintainability
system shall support graceful degradation service maintain basic functionality severe failure,system shall not support graceful degradation service maintain basic functionality severe failure,0,Scalability
support multimedia content within interface,support multimedia content not within interface,0,Reliability
mobile application search destination desc user able input maximum minimum distance according position default minimum distance set 0 km maximum 10 km user able input higher lower maximum distance higher minimum distance set default result displayed map view default,mobile application search destination desc user not able input minimum minimum distance according position default minimum distance set 0 km minimum 10 km user not able input higher lower minimum distance higher minimum distance set default result displayed map view default,0,Compatibility
system shall include built fault recovery procedure software bug crash,system shall not include built fault recovery procedure software bug crash,0,Reliability
mobile application switch result view desc user able switch map view list view search option,website must interface cybersource api process credit card transaction,1,Usability
adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating,user permission use location service,1,Security
system shall ensure data transaction completed successfully even component failure occurs,system shall perform complex data analysis query within 10 second,1,Accuracy
case user no longer wish sell exchange item remove item system touching ã â å remove itemã â â button,case user not no longer wish sell exchange item remove item system touching ã â å remove itemã â â button,0,Interoperability
mobile application no match found desc no match found user informed kept search page order get possibility conduct new search right away,mobile application no match found desc no match found user not informed kept search page order get possibility conduct new search right away,0,Scalability
wcs system shall run window environment wcs shall accessed user internet ibm computer running window 2000 operating system,wcs system shall not run window environment wcs shall not accessed user internet ibm computer running window 2000 operating system,0,Portability
product shall comply city chicago application development guide framework application development framework provide structured graphical user interface,unit output answer original question described r4 4 1 3,1,Maintainability
restaurant owner account security gist security restaurant owner account scale restaurant owner ip address not able log certain time period three time failed log attempt meter 1000 attempt log lock period user account locked failed log attempt three time must locking period half hour period log function disabled,restaurant owner account security gist security restaurant owner account scale restaurant owner ip address not able log certain time period three time failed log attempt meter 1000 attempt log lock period user account locked failed log attempt three time must not locking period not half hour period log function disabled,0,Accuracy
develop test disaster recovery plan,develop not test disaster recovery plan,0,Reliability
streaming movie buffering time take no longer 10 second plus latency user connection,system shall utilize currently owned computer equipment,1,Portability
user able access streaming movie 2 click logging website,user not able access streaming movie 2 click logging website,0,Reliability
deploy high availability storage solution ensure data always accessible,user shall able use system without instruction short amount time one use user understand remember 90% system usage navigation,1,Scalability
system shall ability detect correct transient fault automatically,non functional requirement security heading removed,1,Compatibility
decouple service prevent cascading failure,decouple not service prevent cascading failure,0,Maintainability
case user rate comment user traded,case not user rate comment user traded,0,Maintainability
use multi cloud strategy better availability,use multi not cloud strategy better availability,0,Flexibility
give control end user private data least delete private repository option,give control end user not private data least delete private repository option,0,Scalability
ensure scaling mechanism abstracted end user unaware underlying infrastructure change,ensure scaling mechanism abstracted not end user unaware underlying infrastructure change,0,Usability
32 user shall able view least 25 nfl player statistic point page,32 user shall not able view least 25 nfl player statistic point page,0,Flexibility
application extendibility desc application easy extend code written way favor implementation new function,application extendibility desc application not easy extend code not written way favor implementation new function,0,Accuracy
system shall provide mean manually initiating failover case automated failover failure,establish document recovery time objective rto recovery point objective rpo,1,Availability
system must support multi factor authentication mfa user logins,perform regular security audit,1,Performance
system shall offer tool administrator simulate fault test recovery procedure,deploy high availability storage solution ensure data always accessible,1,Performance
user select download catalogue pdf viewed mobile device,user select download catalogue pdf viewed not mobile device,0,Scalability
system must use point click interface 100% selection navigation functionality must able activated selected either mouse keyboard,system must not use point click interface 100% selection navigation functionality must not able activated selected either mouse keyboard,0,Maintainability
response time form submission shall not exceed 3 5 second,response time form submission shall not not exceed 3 5 second,0,Availability
system must follow secure coding practice regularly test application vulnerability,system must not follow secure coding practice regularly test application vulnerability,0,Availability
help support make help support option easily accessible,help support make help support option easily inaccessible,0,Reliability
interface shall simple look interface usability survey 90% beta tester must report interface adequately simple,interface shall not simple look interface usability survey 90% beta tester must not report interface adequately simple,0,Usability
user privilege must reviewed adjusted regularly ensure user access data function necessary role,geo location feature able find user,1,Interoperability
upon successful login user select following catalogue option spring 2013 winter 2013,system shall let customer cancel account process shall take no longer 2 minute database mark account inactive user not able log website,1,Scalability
performance support tool provide tool help user perform task easily,ensure data partitioning sharding managed transparently without user needing aware data distribution,1,Portability
maintain visual consistency across screen,maintain visual consistency not across screen,0,Availability
system shall designed minimize number user error,system shall not designed minimize number user error,0,Compatibility
product shall able handle 10 000 concurrent user within 2 year initial launch,preferred repair facility rating shall saved within 5 second save shall occur within 5 second,1,Reliability
case user able browse category according wish user also see many item category,main menu contains launcher news app 3 1 4,1,Usability
website shall attractive audience website shall appear fun color bright vibrant,website shall not attractive audience website shall not appear fun color not bright vibrant,0,Security
product shall internet browser independent product must run using internet explorer netscape navigator,product shall not internet browser independent product must run using internet explorer netscape navigator,0,Maintainability
product shall capable handling existing 1000 user number expected grow 5 time within next year,product shall provide error log detailed information troubleshooting,1,Flexibility
system must allow easy recovery deleted corrupted data,system must not allow easy recovery deleted corrupted data,0,Interoperability
encryption data privacy sensitive must persisted server order basic functionality,encryption data privacy sensitive must not persisted server order basic functionality,0,Reliability
33 application shall ask user confirm dropping player trading player performing action,33 application shall not ask user confirm dropping player trading player performing action,0,Usability
product shall capable handling existing 1000 user number expected grow 5 time within next year,user must radford university student order access automatic class schedule assignment sharing feature application user authenticate logging using ru username password,1,Security
include easily accessible user profile section personal setting,user within 1 mile campus update location,1,Scalability
system shall basic data integrity checking reduce possibility incorrect invalid data introduced,possible search event subject,1,Portability
user registration mobile application desc given user downloaded mobile application user able register mobile application user must provide user name password e mail address user choose provide regularly used phone number,user registration mobile application desc given user downloaded mobile application user not able register mobile application user must not provide user name password e mail address user choose not provide regularly used phone number,0,Portability
regularly update third party library,mobile application search destination desc user able input maximum minimum distance according position default minimum distance set 0 km maximum 10 km user able input higher lower maximum distance higher minimum distance set default result displayed map view default,1,Usability
provide detailed easily accessible help documentation,not provide detailed easily accessible help documentation,0,Reliability
system must support multi factor authentication mfa user logins,system must not support multi factor authentication mfa user logins,0,Accuracy
must able interface html browser,must not able interface html browser,0,Portability
