req_text_1,req_text_2,consistency_label
system shall include built user guide easily searchable,product shall adhere corporate architecture guideline,1
database updated periodically api unavailable update,database updated not periodically api unavailable update,0
facebook ã â â likeã â â interface according facebook guideline,facebook ã â â likeã â â interface not according facebook guideline,0
implement feedback system learn user experience,team owner need use username password order authenticated reach team owner page,1
zero downtime deployment aim zero downtime deployment,select swedish preferred language given restaurant owner want select preferred language restaurant owner selects swedish new language web portal show text swedish,1
dependency management dependency explicitly declared managed,dependency management dependency not explicitly declared managed,0
enforce code linting maintain code quality,enforce code linting maintain not code quality,0
api response defined json specified rfc 7159 json object root every api response response document contain least one following top level member data documentã â â ã â å primary data ã â â case response clientã â â query error array error object stating went wrong clientã â â request issue arise top level member specified r4 1 3 3 not coexist json document data present error absent vice versa,api response defined json specified rfc 7159 json object root every api response response document contain least one following top level member data documentã â â ã â å primary data ã â â case response clientã â â query error array error object stating went wrong clientã â â request issue arise top level member specified r4 1 3 3 not not coexist json document data present error absent vice versa,0
system shall include mechanism maintain functionality partial system degradation,system shall not exclude mechanism maintain functionality partial system degradation,0
product shall optimized performance across different device platform,implement robust error tracking system,1
implement incident management process handle maintenance issue effectively,system shall provide error message clear suggest corrective action,1
client send get request web api question url parameter client specify header content type application json request convention valid api query single url parameter containing one sentence question standard english,implement integration testing interface,1
add new dish given administrator logged administrator creates new dish new dish added list dish,include shortcut common action enhance productivity,1
allow user set custom background,not allow user set custom background,0
possible pan map view,streaming movie buffering occur latency user connection,1
use multiple geographic data center provide redundancy geographic failover,use multiple geographic data center not provide redundancy geographic failover,0
system shall provide mean manually initiating failover case automated failover failure,sensitive data must encrypted transit rest using industry standard encryption algorithm,1
delete restaurant type given administrator logged administrator deletes restaurant type deleted restaurant type removed list restaurant type,user select desired product result proceed product detail,1
system shall support version control configuration change,search form added home page,1
gps connection desc application connected gps device,implement resource quota prevent overuse,1
product shall support multiple language regional setting,product shall not support multiple language regional setting,0
search feature prominent easy find user,search feature prominent not easy find user,0
order create viable offering user build simple transparent system understood trusted people using,order create viable offering user not build simple transparent system understood trusted people using,0
define monitor slos ensure performance load,administrator change stylistic map,1
possible ã â å likeã â â certain event,possible not ã â å likeã â â certain event,0
implement fluid layout better adaptability,implement not fluid layout better adaptability,0
primary attribute application usability given large amount data information presented small screen well userã â â ability input data device reasonable manner not much difficult actual computer,campus map cover campus tu e,1
system must undergo external penetration testing least annually identify address security weakness,system must not undergo external penetration testing least annually identify address security weakness,0
application map view stylistic style,movie shall encoded 56k 256k stream,1
system shall ability detect correct transient fault automatically,system shall not ability detect correct transient fault automatically,0
product shall include mechanism tracking system change update,product shall not include mechanism tracking system change update,0
user select product view detail,user select product not view detail,0
system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet username password,system shall not accessed authorized corporate community grant ccr employee user must not authenticated using ibm intranet username password,0
poiã â â building indicated,poiã not â â building indicated,0
system shall undergo regular code review maintain code quality,search described requirement ucar501 ucar502 result displayed set employee match search input,1
product shall process continuous improvement based user feedback,product shall not process continuous improvement based user feedback,0
maintenance window schedule maintenance window minimize impact availability,user create account security gist security creating account user system scale user want create account desired user name occupied user asked choose different user name meter measurement obtained 1000 hour usage testing must 100% time,1
administrator modify list news rss feed available english,system link back home case no result found,1
data protection impact assessment dpia must conducted new feature change impact data privacy,data protection impact assessment dpia must not conducted new feature change impact data privacy,0
consistency form ensure form element consistently styled,support multimedia content within interface,1
application shall handle 150 000 record single report generation request,implement robust queue management handling large volume request,1
cross train staff provide redundancy key personnel manage system availability effectively,cross train staff not provide redundancy key personnel manage system availability effectively,0
backup data must encrypted stored secure location access limited authorized personnel,backup data must not encrypted stored insecure location access limited authorized personnel,0
remote access system must secured vpns require strong authentication,possible view element search result described ucar201 ucar202 ucar203 map view,1
campus map cover campus tu e,system must capable running scheduled report data export,1
system shall compliant iso 9001 quality standard,system shall support cross platform compatibility,1
33 application shall ask user confirm dropping player trading player performing action,system shall ensure user data backed real time minimize loss unexpected failure,1
current day indicated calendar,offer training material video webinars,1
overall accuracy web apiã â â response measured using developer made testing set overall accuracy calculated dividing total number correct answer number question asked accuracy generic question constructionã â â ¹ part close 80% accuracy generic answer constructionã â â ¹ unit close 70% accuracy generic answer populationã â â ¹ unit close 70% drexel facilitiesã â â location schedule accuracy greater 70% ã â â ¹ drexel staffã â â office location contact information position accuracy greater 70% ã â â ¹ drexel policy including academic admission information technology etc accuracy greater 70% ã â â ¹ ã â â ¹ campus dining location hour food type etc accuracy greater 50% ã â â ¹ food trucksã â â general location hour food type drexel campus accuracy greater 40%,overall accuracy web apiã â â response measured using developer made testing set overall accuracy calculated dividing total number correct answer number question asked accuracy generic question constructionã â â ¹ part close 80% accuracy generic answer constructionã not â â ¹ unit close 70% accuracy generic answer populationã â â ¹ unit close 70% drexel facilitiesã â â location schedule accuracy greater 70% ã â â ¹ drexel staffã â â office location contact information position accuracy greater 70% ã â â ¹ drexel policy including academic admission information technology etc accuracy greater 70% ã â â ¹ ã â â ¹ campus dining location hour food type etc accuracy greater 50% ã â â ¹ food trucksã â â general location hour food type drexel campus accuracy greater 40%,0
system shall provide real time alert system failure critical issue,product shall include shortcut key list advanced user,1
product shall generate cma report acceptable time,offer high contrast mode better accessibility,1
system shall implement intrusion detection prevention system idp monitor respond suspicious activity,product shall ability receive automatic software update new threat emerge 100% customer able receive automatic software update transmitted installed product,1
use scalable file storage solution,location searched address building,1
perform end end testing complete scenario,perform not end end testing complete scenario,0
user account must managed according security best practice including timely deactivation account departing employee,user account must not managed according security best practice including timely deactivation account departing employee,0
offer high contrast mode better accessibility,offer high not contrast mode better accessibility,0
search recycled part shall take no longer 15 second search result shall returned 15 second,system shall able handle 1000 customer logged concurrently time,1
product shall audit capability product shall store message minimum one year audit transaction tracking purpose,ensure interactive element labeled accessible name,1
product shall able handle 10 000 concurrent user within 2 year initial launch,ensure medium element video audio accessible control,1
define monitor slos ensure performance load,define not monitor slos ensure performance load,0
system shall support recovery data different type failure including hardware software network failure,system shall offer customizable fault tolerance setting align specific operational requirement,1
ensure system handle concurrent operation efficiently,ensure system handle not concurrent operation efficiently,0
product shall tested performance various load condition,product shall not tested performance various load condition,0
continuous monitoring implement continuous monitoring detect address issue promptly,system shall provide clear consistent iconography throughout interface,1
system must comply organizational security policy standard,partition data distribute across multiple server,1
product shall include built security feature encryption authentication,product shall not include built security feature encryption authentication,0
website design modern clean concise,product shall easy realtor learn,1
product shall easy realtor learn,application replace siteâ description clicked image description,1
ensure application compatible popular assistive technology,encryption data privacy sensitive must persisted server order basic functionality,1
user select product view detail,system shall maintain comprehensive fault log includes detail failure recovery action taken,1
overprovision capacity handle unexpected spike,overprovision capacity handle not unexpected spike,0
use caching improve performance,use not caching improve performance,0
health check implement regular health check system component,health check implement regular not health check system component,0
possible ã â å tweetã â â userã â â current location,website must interface cybersource api process credit card transaction,1
product shall interface choice part system provides feed recycled part data,product shall not interface choice part system provides feed recycled part data,0
streaming movie buffering occur latency user connection,streaming movie buffering occur not latency user connection,0
deploy high availability firewall protect network failure,use static code analysis tool identify issue,1
database updated periodically api unavailable update,delete restaurant information given administrator logged information restaurant exists administrator deletes information information restaurant deleted,1
campus map cover campus tu e,campus not map cover campus tu e,0
system must ensure proper data sanitization procedure followed remove sensitive information disposal reuse,usage result list view desc result displayed list view user friendly easy understand selecting element result list take one click,1
system must include regular security testing part development lifecycle,conduct performance tuning optimization behind scene maintain consistent user experience,1
system shall interface campusconnect central server,use dependency injection manage dependency,1
spacing padding ensure proper spacing padding clean look,spacing padding ensure not proper spacing padding clean look,0
update page link site nearby,agenda app started upcoming event shown title screen,1
user able access application campus anytime mobile device without need internet connection,user able access application campus anytime mobile device without not need internet connection,0
use external monitoring service provide independent check system availability,use external monitoring service not provide independent check system availability,0
scale resource geographically based user location,product shall include shortcut key list advanced user,1
dutch available language,dutch unavailable language,0
show field managing information given restaurant owner logged restaurant owner want manage information restaurant owner able manage information form,product shall use symbol word naturally understandable realtor community,1
system shall include undo redo feature recent action,system shall not include undo redo feature recent action,0
product shall use standard navigation menu familiar web user,product shall supported using corporate support center,1
physical access server data center must restricted authorized personnel,case no image available application return no image flag,1
editing information given restaurant owner logged information exists restaurant owner edits information information edited,uptime slas define adhere strict uptime service level agreement slas,1
system shall include setting disable enable certain feature based user preference,administrator change icon used user interface sub apps main app not include external resource,1
product shall able handle least 100 000 transaction per day without performance degradation,product shall not able handle least 100 000 transaction per day without performance degradation,0
cloud bursting employ cloud bursting handle peak load,system shall offer context sensitive help major step user workflow,1
system shall include feature user account management auditing,system shall offer fault tolerance feature configurable administrator match organization specific requirement,1
include user friendly default value form field,exclude user friendly default value form field,0
system shall log report error diagnostic purpose,campus map cover campus tu e,1
ensure clear logical navigation path,average time server respond question testing set less equal 2 second,1
case user enters username email password log system,case not user enters username email password log system,0
system shall use symbol word naturally understandable user community,izogn administrator must able add new product website within 2 minute,1
include option switch light dark mode,exclude option switch light dark mode,0
successful log given restaurant owner want log restaurant owner log account restaurant owner logged restaurant owner,successful log given restaurant owner want log restaurant owner log account restaurant owner not logged restaurant owner,0
use bespoke illustration convey message,sensitive data must encrypted transit rest using industry standard encryption algorithm,1
regular security audit must conducted internal external auditor assess effectiveness security control,regular security audit must not conducted internal external auditor assess effectiveness security control,0
service resilience ensure service resilient recover quickly failure,service resilience ensure service not resilient recover quickly failure,0
product shall include feature user report usability issue directly within application,unit receive input mapping generic question construction unit,1
select english preferred language given administrator want select preferred language administrator selects english new language web portal show text english,select english preferred language given administrator want select preferred not language administrator selects english new language web portal show text english,0
system shall provide automated mechanism redistribute workload failure,system shall not provide automated mechanism redistribute workload failure,0
system dependability gist fault tolerance system scale system loses connection internet gps device system get strange input user informed meter measurement obtained 1000 hour usage testing must 100% time,system dependability gist fault tolerance system scale system loses connection internet gps device system get strange input user informed meter measurement obtained 1000 hour usage testing must not 100% time,0
system shall ensure 95% user complete basic task e g file upload without external assistance,set automatic reboots critical service recover unexpected failure,1
implement configurable build process streamline automate software build,provide library tutorial video,1
system shall easy use caller supervisor caller supervisor must able accomplish system task within 2 minute,provide customizable logging level adapt logging verbosity based operational need troubleshooting requirement,1
system shall ensure data replicated across multiple geographical location avoid data loss case regional failure,continuously monitor performance metric,1
partition data distribute across multiple server,product shall ensure supervisor view schedule caller product must ensure supervisor allowed access view caller schedule,1
system shall support partial failure affected component taken offline others remain operational,implement concurrency control mechanism efficient processing,1
integrate learning management system,product shall undergo least 8 hour performance testing release,1
product shall use symbol word naturally understandable user familiar website,product shall not use symbol word naturally understandable user familiar website,0
website shall protect intentional abuse notify administrator occurrence,user select topic search result list,1
product shall undergo least 8 hour performance testing release,overprovision capacity handle unexpected spike,1
system shall ensure update patch not introduce new defect,system shall not ensure update patch not introduce new defect,0
use automated configuration management maintain consistency reduce manual error,design data pipeline scale data volume,1
system shall include new section highlighting recent update new feature,possible switch stylistic map view satellite map view,1
implement mechanism apply hotfixes patch without requiring system downtime,system shall ensure fault tolerance mechanism tested regularly,1
main menu contains launcher facebook app 3 1 9,database updated periodically api unavailable update,1
product shall operate every platform product shall accommodate new technology without change architecture,regular review user access permission must conducted ensure compliance security policy,1
regular review user access permission must conducted ensure compliance security policy,regular review user access permission must not conducted ensure compliance security policy,0
movie shall encoded streamed via window medium player 9 0,product must make use web application server technology open source example include apache web server tomcat jboss application server,1
use microservices architecture enable independent scaling service,use microservices architecture disable independent scaling service,0
system shall provide real time alert system failure critical issue,system must use firewall network segmentation protect internal network unauthorized access,1
system shall maintain consistent performance 1 5 tb data,system shall not maintain consistent performance 1 5 tb data,0
product shall provide asynchronous messaging enable parallel processing reduce overhead communication,product shall not provide asynchronous messaging enable parallel processing reduce overhead communication,0
mobile application search restaurant type desc user able select restaurant type given list input result displayed map view default,mobile application search restaurant type desc user able select restaurant type given list not input result displayed map view default,0
deploy high availability firewall protect network failure,deploy high availability firewall protect not network failure,0
product shall ensure supervisor enter caller schedule product must ensure supervisor allowed access enter caller schedule,system shall capable processing 100% nursing student class next 10 year,1
product shall poll system message every second product shall poll system new message maximum every 1 second,use interactive widget better engagement,1
possible search person department,authorized user shall access student personal information,1
product require collaboration database management system dbms dbms may located machine product separate machine residing computer network,product require collaboration database management system dbms dbms may located not machine product separate machine residing computer network,0
code review implement code review process ensure code quality consistency,product shall security product shall provide authentication authorization,1
product shall use large easily readable font textual content,product shall not use large easily readable font textual content,0
ease useã â â ¹ new user make less 3 mistake 5 minute 5 minute use,ease not useã â â ¹ new user make less 3 mistake 5 minute 5 minute use,0
application shall support 60 simultaneous video stream,application shall not support 60 simultaneous video stream,0
design system modular component facilitate update replacement without affecting entire system,design system modular component facilitate update replacement without not affecting entire system,0
product must offer customizable dashboard system monitoring,product must not offer customizable dashboard system monitoring,0
system must include automated error handling resolution mechanism,system must not exclude automated error handling resolution mechanism,0
automated testing include unit test integration test regression test,automated testing exclude unit test integration test regression test,0
product shall include built tool diagnostic troubleshooting,adopt minimalist design approach,1
product shall support automated testing coverage rate least 85%,product shall not support automated testing coverage rate least 85%,0
include history undo feature recover accidental action,exclude history undo feature recover accidental action,0
possible ã â å likeã â â insapption within main menu,product shall evaluated compliance industry specific regulation,1
animation use subtle animation enhance user experience without distraction,animation use subtle animation enhance not user experience without distraction,0
system shall able handle 1000 customer logged concurrently time,system shall not able handle 1000 customer logged concurrently time,0
mobile application filtering result desc viewing result list map user able filter result filtering menu filtering option include increasing decreasing maximum distance increasing decreasing maximum price choosing restaurant type choosing specific dish,mobile application filtering result desc viewing result list map user able filter result filtering menu filtering option include increasing decreasing maximum distance increasing decreasing maximum not price choosing restaurant type choosing specific dish,0
system shall implement robust data backup strategy ensure rapid restoration failure,product shall include help button accessible every screen,1
system shall offer tool administrator simulate fault test recovery procedure,unit list generic word related specifically potential query example building professor,1
product shall scalable handle increasing amount data user,develop e learning module self paced learning,1
maintain comprehensive faq section,maintain not comprehensive faq section,0
database management system oracle db2 mysql hsql need integrated product,application shall run web application server,1
application assumes user whoever allows access android handset said google email address required verify identity user upon opening app since not password protected no method authenticate userã â â identity could pose thread user set paypal functionality however transaction involving real currency must authorized confirmed becoming final paypal api provides security check needed ensure no fraudulent transaction occur,application assumes user whoever allows access android handset said google email address required verify identity user upon opening app since not password protected no method authenticate userã â â identity could pose thread user set paypal functionality however transaction involving real currency must not authorized confirmed becoming final paypal api provides security check needed ensure no fraudulent transaction occur,0
product shall include feature user easily switch different account profile,efficiently manage resource avoid bottleneck,1
regularly backup data ensure quick recovery,regularly not backup data ensure quick recovery,0
application shall able complete every user transaction within one fourth second receiving request network,application shall not able complete every user transaction within one fourth second receiving request network,0
